524, 225144199.0, 9835471
525, 6049.0, 265
526, 598776934.0, 26107916
527, 528.0, 24
528, 23.0, 2
530, 1059.0, 47
531, 530.0, 24
532, 2588599.0, 112231
533, 74859849.0, 3242541
534, 3678725.0, 159195
535, 1618804.0, 69988
536, 145925.0, 6304
537, 192349463.0, 8300493
538, 739950864.0, 31901548
539, 3970.0, 172
540, 119071.0, 5125
541, 503425738.0, 21643964
542, 4293183.0, 184409
543, 669337.0, 28725
544, 2449.0, 106
545, 1961.0, 85
546, 701.0, 31
547, 293546453.0, 12551141
548, 6083073.0, 259857
549, 516201590.0, 22030948
550, 30580901.0, 1303975
551, 8380.0, 358
552, 47.0, 3
553, 635797691.0, 27036869
554, 549718851.0, 23355317
555, 1814.0, 78
556, 155126500.0, 6578830
557, 27849.0, 1181
558, 7937.0, 337
559, 506568295.0, 21425557
560, 71.0, 4
561, 522785.0, 22073
562, 220938497.0, 9319729
563, 68122.0, 2872
564, 95.0, 5
565, 689960039.0, 29026838
566, 95609285.0, 4018759
567, 2024.0, 86
568, 143.0, 7
569, 423458123.0, 17752289
570, 191.0, 9
571, 591316157.0, 24745812
572, 287.0, 13
573, 383.0, 17
574, 575.0, 25
575, 24.0, 2
577, 1153.0, 49
578, 577.0, 25
579, 385.0, 17
580, 289.0, 13
581, 532576276.0, 22094988
582, 193.0, 9
583, 8429543.0, 349117
584, 145.0, 7
585, 33281.0, 1377
586, 547586916.0, 22620608
587, 1907162.0, 78718
588, 97.0, 5
589, 158907974.0, 6547690
590, 5781.0, 239
591, 165676.0, 6816
592, 73.0, 4
593, 497309513.0, 20422055
594, 1098305.0, 45065
595, 18514.0, 760
596, 510211052.0, 20899060
597, 1032014507.0, 42237543
598, 1574351.0, 64381
599, 486663193.0, 19884520
600, 49.0, 3
601, 529479983.0, 21597940
602, 687.0, 29
603, 48842.0, 1990
604, 498062163.0, 20265863
605, 930249.0, 37821
606, 42187499.0, 1713751
607, 548871575.0, 22278011
608, 2737.0, 112
609, 605695.0, 24545
610, 564287079.0, 22847317
611, 236926.0, 9586
612, 2177.0, 89
613, 588084296.0, 23752502
614, 599586875.0, 24197358
615, 124.0, 6
616, 21295.0, 859
617, 1592796237.0, 64123563
618, 10093.0, 407
619, 675920981.0, 27167559
620, 249.0, 11
621, 7775.0, 313
622, 293024624.0, 11749218
623, 624.0, 26
624, 25.0, 2
626, 1251.0, 51
627, 626.0, 26
628, 483790960.0, 19305362
629, 123245001.0, 4914101
630, 251.0, 11
631, 560155918.0, 22299456
632, 7743.0, 309
633, 440772247.0, 17519125
634, 336046992.0, 13346132
635, 126.0, 6
636, 3505951.0, 139021
637, 200477279.0, 7943200
638, 42283.0, 1675
639, 24220799.0, 958161
640, 1039681.0, 41098
641, 162122886.0, 6403470
642, 5777.0, 229
643, 393427068.0, 15515250
644, 11775.0, 465
645, 1024001.0, 40321
646, 305.0, 13
647, 120187368.0, 4725054
648, 19601.0, 771
649, 339283364.0, 13318038
650, 51.0, 3
651, 1735.0, 69
652, 1074439109.0, 42078284
653, 775384979.0, 30343160
654, 8915765.0, 348635
655, 437437795.0, 17092110
656, 2049.0, 81
657, 2281249.0, 89001
658, 1693.0, 67
659, 5930.0, 232
660, 1079.0, 43
661, 391044982.0, 15209888
662, 464986126.0, 18072200
663, 103.0, 5
664, 394273546.0, 15300782
665, 13719.0, 533
666, 27365201.0, 1060381
667, 107119097.0, 4147669
668, 56447.0, 2185
669, 146079351.0, 5647755
670, 5791211.0, 223735
671, 58620.0, 2264
672, 337.0, 14
673, 958168334.0, 36934676
674, 675.0, 27
675, 26.0, 2
677, 1353.0, 53
678, 677.0, 27
679, 361483747.0, 13872474
680, 339.0, 14
681, 698437496.0, 26764184
682, 1197901.0, 45871
683, 170067682.0, 6507460
684, 57799.0, 2211
685, 218623878.0, 8353190
686, 455613205.0, 17395394
687, 165337.0, 6309
688, 24248647.0, 924472
689, 105.0, 5
690, 1471.0, 57
691, 388834592.0, 14791966
692, 2499849.0, 95031
693, 246401.0, 9361
694, 563935873.0, 21406714
695, 33639.0, 1277
696, 1451.0, 56
697, 34849.0, 1321
698, 51999603.0, 1968215
699, 2271050.0, 85900
700, 8193151.0, 309673
701, 277631049.0, 10485981
702, 53.0, 3
703, 1159172.0, 43720
704, 79201.0, 2986
705, 237161.0, 8933
706, 34595.0, 1303
707, 2526.0, 96
708, 62423.0, 2347
709, 941951603.0, 35375736
710, 1279.0, 49
711, 80.0, 4
712, 1601.0, 61
713, 5286367.0, 197977
714, 4115.0, 155
715, 75646.0, 2830
716, 335791967.0, 12549136
717, 6998399.0, 261361
718, 544239212.0, 20310828
719, 545019485.0, 20325798
720, 161.0, 7
721, 766102848.0, 28531162
722, 22619537.0, 841813
723, 242.0, 10
724, 401010423.0, 14903436
725, 9801.0, 365
726, 485.0, 19
727, 728.0, 28
728, 27.0, 2
730, 1459.0, 55
731, 730.0, 28
732, 487.0, 19
733, 195307849.0, 7213861
734, 10394175.0, 383657
735, 244.0, 10
736, 24335.0, 898
737, 252975383.0, 9318469
738, 163.0, 7
739, 620125683.0, 22811693
740, 9249.0, 341
741, 7352695.0, 270109
742, 263091151.0, 9658381
743, 714024.0, 26196
744, 7501.0, 276
745, 12769001.0, 467821
746, 300613931.0, 11006259
747, 82.0, 4
748, 5658247.0, 206887
749, 167573023.0, 6122986
750, 2550251.0, 93123
751, 589999787.0, 21529399
752, 4607.0, 169
753, 423135340.0, 15419910
754, 836977699.0, 30480931
755, 1209.0, 45
756, 55.0, 3
757, 150663196.0, 5475948
758, 413959717.0, 15035695
759, 551.0, 21
760, 52021.0, 1888
761, 1280001.0, 46401
762, 6349.0, 231
763, 271728688.0, 9837240
764, 250215553.0, 9052482
765, 285769.0, 10333
766, 363798414.0, 13144572
767, 31212.0, 1128
768, 18817.0, 680
769, 570214728.0, 20562470
770, 111.0, 5
771, 696807413.0, 25094907
772, 783766984.0, 28208392
773, 373378327.0, 13429486
774, 10405.0, 375
775, 4620799.0, 165985
776, 195.0, 8
777, 223.0, 9
778, 2178548422.0, 78104746
779, 11785490.0, 422260
780, 391.0, 15
781, 67606199.0, 2419141
782, 783.0, 29
783, 28.0, 2
785, 1569.0, 57
786, 785.0, 29
787, 584659685.0, 20840868
788, 393.0, 15
789, 275779551.0, 9818013
790, 707513228.0, 25172192
791, 225.0, 9
792, 197.0, 8
793, 4393.0, 157
794, 325449512.0, 11549772
795, 6626.0, 236
796, 1196442047.0, 42406765
797, 1216797167.0, 43101168
798, 113.0, 5
799, 424.0, 16
800, 19601.0, 694
801, 650973651.0, 23001024
802, 295496099.0, 10434331
803, 7226.0, 256
804, 515095.0, 18167
805, 386225097.0, 13612647
806, 6166395.0, 217203
807, 51841948.0, 1824924
808, 19731763.0, 694162
809, 278601383.0, 9795104
810, 27379.0, 963
811, 306799399.0, 10773185
812, 57.0, 3
813, 2167.0, 77
814, 548663137.0, 19230634
815, 156644.0, 5488
816, 4999.0, 176
817, 343.0, 13
818, 40899.0, 1431
819, 1574.0, 56
820, 39689.0, 1387
821, 262083723.0, 9146786
822, 7397.0, 259
823, 431722462.0, 15048900
824, 59535.0, 2075
825, 48599.0, 1693
826, 615591509.0, 21419169
827, 900602.0, 31318
828, 1151.0, 41
829, 879672881.0, 30552303
830, 146411.0, 5083
831, 9799705.0, 339949
832, 842401.0, 29206
833, 9478657.0, 328417
834, 579749836.0, 20075096
835, 553153089.0, 19142653
836, 46551.0, 1611
837, 12151.0, 421
838, 576238683.0, 19905836
839, 840.0, 30
840, 29.0, 2
842, 1683.0, 59
843, 842.0, 30
844, 582453114.0, 20048864
845, 299537289.0, 10304397
846, 2143295.0, 73689
847, 8193151.0, 281521
848, 66249.0, 2276
849, 888102911.0, 30479614
850, 2449.0, 85
851, 8418574.0, 288586
852, 194399.0, 6661
853, 716385636.0, 24528578
854, 1294299.0, 44291
855, 3041.0, 105
856, 622103357.0, 21263056
857, 473105997.0, 16160994
858, 703.0, 25
859, 442140817.0, 15085651
860, 3871.0, 133
861, 541601801.0, 18457741
862, 713551220.0, 24303652
863, 275881016.0, 9391100
864, 470449.0, 16006
865, 348345108.0, 11844090
866, 42435.0, 1443
867, 70226.0, 2386
868, 3844063.0, 130477
869, 291842773.0, 9900089
870, 59.0, 3
871, 494202326.0, 16745408
872, 126003.0, 4268
873, 62809633.0, 2125785
874, 3725.0, 127
875, 120126.0, 4062
876, 10951.0, 371
877, 628901390.0, 21236492
878, 9314703.0, 314357
879, 107245324.0, 3617296
880, 89.0, 4
881, 407030946.0, 13713222
882, 19601.0, 661
883, 1186224595.0, 39919637
884, 1665.0, 57
885, 119.0, 5
886, 519758729.0, 17461637
887, 469224.0, 15756
888, 149.0, 6
889, 994414235.0, 33351584
890, 179.0, 7
891, 3970.0, 134
892, 100351.0, 3361
893, 712054670.0, 23828002
894, 299.0, 11
895, 359.0, 13
896, 449.0, 16
897, 599.0, 21
898, 899.0, 31
899, 30.0, 2
901, 1801.0, 61
902, 901.0, 31
903, 601.0, 21
904, 451.0, 16
905, 361.0, 13
906, 301.0, 11
907, 1028830619.0, 34161761
908, 102151.0, 3391
909, 80801.0, 2681
910, 181.0, 7
911, 551326625.0, 18266267
912, 151.0, 6
913, 306075029.0, 10129606
914, 62563299.0, 2069411
915, 121.0, 5
916, 5848201.0, 193231
917, 823604599.0, 27197821
918, 4120901.0, 136011
919, 384900835.0, 12696708
920, 91.0, 4
921, 1114256834.0, 36716012
922, 419288307.0, 13808526
923, 638.0, 22
924, 11551.0, 381
925, 1555849.0, 51157
926, 527303951.0, 17328284
927, 227528.0, 7474
928, 768555217.0, 25229062
929, 292375805.0, 9592540
930, 61.0, 3
931, 164264819.0, 5383563
932, 566951474.0, 18571114
933, 75263.0, 2465
934, 3034565.0, 99295
935, 1376.0, 46
936, 5201.0, 171
937, 387343513.0, 12653962
938, 17151.0, 561
939, 122695.0, 4005
940, 4231.0, 139
941, 731069390.0, 23832182
942, 106133.0, 3459
943, 737.0, 25
944, 561799.0, 18286
945, 275561.0, 8965
946, 619613483.0, 20145373
947, 536522573.0, 17434642
948, 228151.0, 7411
949, 1016454459.0, 32995509
950, 202501.0, 6571
951, 224208076.0, 7270446
952, 11663.0, 379
953, 355174883.0, 11505244
954, 32080051.0, 1038631
955, 609252657.0, 19714954
956, 572298213.0, 18509448
957, 14849.0, 481
958, 129470160.0, 4182992
959, 960.0, 32
960, 31.0, 2
962, 1923.0, 63
963, 962.0, 32
964, 142022136.0, 4574226
965, 446526729.0, 14374205
966, 57499.0, 1851
967, 1114540897.0, 35841220
968, 19601.0, 631
969, 13588951.0, 436541
970, 143087944.0, 4594278
971, 991706964.0, 31825392
972, 606471923.0, 19452597
973, 903223.0, 28957
974, 676646957.0, 21681168
975, 1249.0, 41
976, 425680601.0, 13625705
977, 619577520.0, 19822042
978, 118337.0, 3785
979, 360449.0, 11521
980, 51841.0, 1657
981, 372326272.0, 11887464
982, 8837.0, 283
983, 284088.0, 9062
984, 88805.0, 2832
985, 332929.0, 10609
986, 49299.0, 1571
987, 377.0, 13
988, 396778604.0, 12623210
989, 644506991.0, 20494131
990, 881.0, 29
991, 775587755.0, 24637358
992, 63.0, 3
993, 2647.0, 85
994, 1135.0, 37
995, 8835999.0, 280121
996, 8553815.0, 271039
997, 391416439.0, 12396284
998, 402351652.0, 12736220
999, 102688615.0, 3248925
1000, 39480499.0, 1248484
